"ID","Manufacturer","ExchangerType","MinDutyKW","MaxDutyKW","MinAreaM2","MaxAreaM2","MinPressureBara","MaxPressureBara","MinTemperatureC","MaxTemperatureC","TEMATypes","Materials","Applications","Website","Notes"
1,"Alfa Laval","shell-tube",10,100000,1,10000,1,300,-200,600,"AES;BEM;AEU;AEL;AET;AEP","Carbon Steel;Stainless Steel;Duplex;Titanium;Hastelloy","Process;Refinery;LNG;Offshore;Power","alfalaval.com","Also leading plate HX manufacturer"
2,"Alfa Laval","plate",5,50000,0.5,2500,1,40,-30,200,"N/A","Stainless Steel;Titanium;Hastelloy;SMO254","Process;HVAC;Marine;Food;Pharma","alfalaval.com","Gasketed and welded plate designs"
3,"Kelvion","shell-tube",10,80000,1,8000,1,250,-200,550,"AES;BEM;AEU;AEW;AEP","Carbon Steel;Stainless Steel;Duplex;Titanium","Process;Refinery;Power;Chemical","kelvion.com","Formerly GEA Heat Exchangers"
4,"Kelvion","plate",5,30000,0.5,2000,1,35,-30,180,"N/A","Stainless Steel;Titanium;Nickel alloys","Process;HVAC;Marine","kelvion.com","Gasketed and brazed plate designs"
5,"Kelvion","air-cooler",50,50000,10,5000,1,200,-40,400,"N/A","Carbon Steel;Stainless Steel;Aluminium fins","Process;Refinery;Pipeline;Power","kelvion.com","Forced and induced draft"
6,"Koch Heat Transfer","shell-tube",50,120000,5,15000,1,350,-200,650,"AES;BEM;AET;AEU;AEP","Carbon Steel;Stainless Steel;Duplex;Titanium;Inconel","Refinery;Petrochemical;LNG;Offshore","kochheattransfer.com","Twisted tube and helical baffle technology"
7,"Koch Heat Transfer","air-cooler",100,80000,20,8000,1,250,-40,450,"N/A","Carbon Steel;Stainless Steel;Aluminium fins","Refinery;Pipeline;Offshore;Power","kochheattransfer.com","Large-scale ACHE units"
8,"TEMA (Thermon)","shell-tube",5,40000,0.5,5000,1,200,-100,500,"AES;BEM;AEU;AEL","Carbon Steel;Stainless Steel;Copper alloys","Process;Chemical;Power","thermon.com","Standard TEMA designs"
9,"Heatric (Baker Hughes)","plate",100,150000,1,5000,5,600,-200,900,"N/A","Stainless Steel;Duplex;Inconel;Titanium","LNG;Offshore;Subsea;HP Gas","heatric.com","Printed circuit (PCHE) and formed plate designs"
10,"Chart Industries","shell-tube",50,200000,5,20000,1,300,-269,400,"AES;BEM;AEU;AET","Aluminium;Stainless Steel;Carbon Steel","LNG;Cryogenic;Air Separation;Ethylene","chartindustries.com","Brazed aluminium and wound-coil exchangers"
11,"Chart Industries","plate",100,300000,5,30000,1,120,-269,200,"N/A","Aluminium","LNG;Air Separation;Cryogenic","chartindustries.com","Brazed aluminium plate-fin (BAHX)"
12,"Bronswerk Heat Transfer","air-cooler",50,60000,10,6000,1,200,-40,400,"N/A","Carbon Steel;Stainless Steel;Aluminium fins","Refinery;Pipeline;Offshore;Gas Processing","bronswerk.com","Dry and wet cooling systems"
13,"SWEP (Dover)","plate",1,5000,0.1,500,1,45,-30,200,"N/A","Stainless Steel;Copper;Nickel","HVAC;Process;Marine;Refrigeration","swep.net","Brazed plate heat exchangers"
14,"Tranter","plate",5,20000,0.5,1500,1,30,-30,180,"N/A","Stainless Steel;Titanium;Hastelloy","Process;Chemical;Marine;Power","tranter.com","Gasketed and welded plate designs"
15,"SPX FLOW (APV)","plate",5,25000,0.5,1800,1,35,-30,200,"N/A","Stainless Steel;Titanium;SMO254","Food;Pharma;Process;Chemical","spxflow.com","Hygienic and process plate HX"
16,"Howden","air-cooler",100,100000,20,10000,1,300,-40,500,"N/A","Carbon Steel;Stainless Steel;Aluminium fins","Refinery;Pipeline;Offshore;LNG;Power","howden.com","Large industrial air coolers"
17,"GEA Group","shell-tube",10,60000,1,6000,1,200,-100,500,"AES;BEM;AEU","Carbon Steel;Stainless Steel;Duplex","Process;Chemical;Power;Marine","gea.com","Process and hygienic shell-tube"
18,"GEA Group","plate",5,30000,0.5,2000,1,35,-30,200,"N/A","Stainless Steel;Titanium;Nickel alloys","Process;Chemical;Pharma;HVAC","gea.com","Gasketed and welded plate designs"
